Title,Employees,Revenues,Revchange,Assets,Totshequity,Profits
Expeditors International of Washington,16000,6098,-7.8,2791,1845,430.8
Avery Dennison,25000,6087,2,4396,926,320.7
Ameren,8629,6076,-0.4,24699,7103,653
Hanesbrands,67800,6063,5.8,6908,1224,539.4
Motorola Solutions,14000,6038,6,8463,-964,560
St. Jude Medical,18000,6004,8.4,12578,4578,734
Harley-Davidson,6000,5997,8.4,9890,1920,692.2
Regions Financial,22166,5967,5.2,125968,16664,1163
Intercontinental Exchange,5631,5958,27.3,82003,15717,1422
Alaska Air Group,19112,5931,5.9,9962,2931,814
Old Republic International,8500,5901,2.3,18592,4472,466.9
Lam Research,7500,5886,11.9,12272,5895,914
AK Steel Holding,8500,5883,-12.1,4036,-272,-7.8
Rockwell Automation,22000,5880,-6.8,7101,1990,729.7
Adobe Systems,15706,5854,22.1,12707,7425,1168.8
Avon Products,26400,5853,-18.4,3419,-848,-107.6
Terex,18100,5841,-10.7,5007,1484.7,-176.1
NVR,4900,5835,12.9,2644,1304,425.3
Dana,24900,5826,-3.9,4860,1157,640
Realogy Holdings,11800,5810,1.8,7421,2464,213
American Tower,4507,5786,21.3,30879,6764,956.4
Packaging Corp. of America,14000,5779,0.6,5777,1760,449.6
Citizens Financial Group,17600,5763,9.2,149520,19747,1045
United Rentals,12500,5762,-0.9,11988,1648,566
Clorox,8000,5761,1.7,4518,297,648
Genesis Healthcare,82000,5733,2,5779,-490,-64
M&T Bank Corp.,16487,5722,14.5,123449,16487,1315.1
Ingredion,11000,5704,1.5,5782,2565,484.9
UGI,13105,5686,-15,10847,2851,364.7
Owens Corning,16000,5677,6.1,7741,3849,393
S&P Global,20000,5661,6.6,8669,650,2106
Markel,10900,5612,4.5,25875,8461,455.7
Wyndham Worldwide,37800,5599,1.1,9819,714,611
Arthur J. Gallagher,24790,5595,3.8,11490,3597,414.4
Burlington Stores,40000,5591,9,2575,-50,215.9
First American Financial,19531,5576,7.7,8832,3008,343
Symantec,11000,5568,-14.4,11767,3676,2488
Patterson,7000,5555,27,3521,1442,187.2
Olin,6400,5551,94.5,8763,2273,-3.9
NetApp,12030,5546,-9.4,10037,2881,229
Raymond James Financial,11900,5520,4,31594,4914,529.4
TravelCenters of America,20259,5511,-5.8,1660,552,-2
Fiserv,23000,5505,4.8,9743,2541,930
Host Hotels & Resorts,220,5488,1.9,11408,6994,762
Insight Enterprises,5930,5486,2.1,2219,713,84.7
Mattel,32000,5457,-4.3,6494,2408,318
AmTrust Financial Services,8000,5451,18.1,22615,3269,411
Cincinnati Financial,4754,5449,6,20386,7060,590.7
Simon Property Group,4050,5435,3.2,31104,4310,1838.9
Western Union,10700,5423,-1.1,9420,902,253.2
KeyCorp,15700,5422,19.4,136453,15240,791
Delek US Holdings,1326,5414,-6,2985,992,-153.7
Booz Allen Hamilton Holding,22600,5406,2.5,3010,409,294.1
Chemours,7000,5400,2.5,6060,100,7
Western & Southern Financial Group,2178,5398,0.8,43831,5104,241.2
Celanese,7293,5389,-5,8357,2588,900
Windstream Holdings,11870,5387,-6.6,11770,170,-383.5
Seaboard,11781,5379,-3.8,4755,3162,312
Essendant,6600,5369,0.1,2164,781,63.9
Apache,3727,5354,-19.5,22519,6238,-1405
Airgas,17000,5314,0.2,6135,2045,337.5
Kelly Services,7500,5277,-4.4,2028,1012,120.8
Liberty Media,3626,5276,10,31377,11756,680
Rockwell Collins,19000,5259,-0.1,7707,2078,728
Robert Half International,16400,5250,3.1,1778,1087,343.4
CH2M Hill,20000,5236,-2.3,2671,547,15
Big Lots,23150,5200,0.2,1608,651,152.8
Michaels Cos.,31000,5197,5.8,2148,-1698,378.2
Toll Brothers,4200,5170,23.9,9737,4229,382.1
Yahoo,8500,5169,4,48083,31049,-214.3
Vistra Energy,4431,5164,4,15167,6597,-214.3
ABM Industries,110000,5145,-2.8,2281,974,57.2
