Title,Employees,Sector,Industry,Hqcity,Hqstate,Revenues,Revchange,Prftchange,Assets,Totshequity,Profits
Omnicom Group,78500,Business Services,"Advertising, Marketing",New York,NY,15417,1.9,5,23165,2162,1148.6
Genuine Parts,40000,Wholesalers,Wholesalers: Diversified,Atlanta,GA,15340,0.4,-2.6,8859,3194,687.2
DaVita,70300,Health Care,Health Care: Medical Facilities,Denver,CO,15197,6.9,226.2,18741,4648,879.9
Colgate-Palmolive,36700,Household Products,Household and Personal Products,New York,NY,15195,-5.2,76.4,12123,-243,2441
PPG Industries,47000,Chemicals,Chemicals,Pittsburgh,PA,15178,-1,-37.6,15769,4826,877
Goodyear Tire & Rubber,66000,Motor Vehicles & Parts,Motor Vehicles and Parts,Akron,OH,15158,-7.8,311.7,16511,4507,1264
Synchrony Financial,15000,Financials,Diversified Financials,Stamford,CT,15122,11,1.7,90207,14196,2251
DISH Network,16000,Telecommunications,Telecommunications,Englewood,CO,15095,0.2,94.1,28092,4637,1449.9
Visa,14200,Business Services,Financial Data Services,Foster City,CA,15082,8.7,-5.3,64035,32912,5991
Nordstrom,72500,Retailing,General Merchandisers,Seattle,WA,14757,2.2,-41,7858,870,354
INTL FCStone,1464,Financials,Diversified Financials,New York,NY,14755,-57.5,-1.8,5951,434,54.7
WestRock,39000,Materials,"Packaging, Containers",Richmond,VA,14706,29.2,-178.2,23038,9729,-396.3
XPO Logistics,87000,Transportation,Transportation and Logistics,Greenwich,CT,14619,91.8,-178.2,11698,2700,69
Aramark,217250,Business Services,Diversified Outsourcing Services,Philadelphia,PA,14416,0.6,22,10582,2161,287.8
CBS,18410,Media,Entertainment,New York,NY,14386,3.6,-10.8,24238,3689,1261
AES,19000,Energy,Utilities: Gas and Electric,Arlington,VA,14287,-4.5,-469.3,36119,2794,-1130
WellCare Health Plans,7400,Health Care,Health Care: Insurance and Managed Care,Tampa,FL,14237,2.5,104.1,6153,2000,242.1
FirstEnergy,15707,Energy,Utilities: Gas and Electric,Akron,OH,14156,-3.1,"-1,168.70",43148,6241,-6177
